kingdom,phylum,reads,sample
Bacteria,Bacteroidota,8170808,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_A,1235271,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_C,174041,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Proteobacteria,140801,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes,62387,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Actinobacteriota,4881,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Desulfobacterota,754,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Firmicutes_B,553,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Cyanobacteria,541,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Spirochaetota,453,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Verrucomicrobiota,121,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Fusobacteriota,121,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Campylobacterota,76,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Patescibacteria,38,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Archaea,Methanobacteriota,60,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
