reaction,metabolite,flux,reaction,global_id,diff
EX_4abz_m,4abz,1.0,EX_4abz_m,EX_4abz(e),1.0
EX_ac_m,ac,0.2,EX_ac_m,EX_ac(e),1.0
EX_acgam_m,acgam,0.2,EX_acgam_m,EX_acgam(e),1.0
EX_ala_L_m,ala_L,0.2,EX_ala_L_m,EX_ala_L(e),1.5873038856360284
EX_arg_L_m,arg_L,0.0338761367499999,EX_arg_L_m,EX_arg_L(e),1.9984253315497402
EX_asn_L_m,asn_L,0.0575867281009388,EX_asn_L_m,EX_asn_L(e),1.0
EX_asp_L_m,asp_L,0.045,EX_asp_L_m,EX_asp_L(e),1.7024008385973457
EX_btn_m,btn,0.2,EX_btn_m,EX_btn(e),2.682194616978582
EX_ca2_m,ca2,1.0,EX_ca2_m,EX_ca2(e),1.780148235832183
EX_cbl1_m,cbl1,1.0,EX_cbl1_m,EX_cbl1(e),1.0
EX_cgly_m,cgly,0.2,EX_cgly_m,EX_cgly(e),1.0
EX_cl_m,cl,1.0,EX_cl_m,EX_cl(e),0.6162705112567808
EX_cobalt2_m,cobalt2,1.0,EX_cobalt2_m,EX_cobalt2(e),1.0
EX_cu2_m,cu2,1.0,EX_cu2_m,EX_cu2(e),1.3266431407145978
EX_cys_L_m,cys_L,0.2,EX_cys_L_m,EX_cys_L(e),1.8406693622819033
EX_ddca_m,ddca,0.2,EX_ddca_m,EX_ddca(e),0.0075675111462356615
EX_fe2_m,fe2,0.2,EX_fe2_m,EX_fe2(e),3.885223733814141
EX_fe3_m,fe3,0.2,EX_fe3_m,EX_fe3(e),3.885223733814141
EX_fol_m,fol,0.2,EX_fol_m,EX_fol(e),2.025386918567156
EX_for_m,for,0.2,EX_for_m,EX_for(e),1.0
EX_fru_m,fru,0.0297972,EX_fru_m,EX_fru(e),1.4771702229453723
EX_fum_m,fum,0.2,EX_fum_m,EX_fum(e),1.0
EX_gam_m,gam,0.2,EX_gam_m,EX_gam(e),1.0
EX_gln_L_m,gln_L,0.036,EX_gln_L_m,EX_gln_L(e),1.0
EX_glu_L_m,glu_L,0.036,EX_glu_L_m,EX_glu_L(e),1.2685479830240114
EX_gly_m,gly,0.09,EX_gly_m,EX_gly(e),1.653284658308574
EX_h_m,h,0.2,EX_h_m,EX_h(e),1.0
EX_h2_m,h2,1.0,EX_h2_m,EX_h2(e),1.0
EX_h2o_m,h2o,2.0,EX_h2o_m,EX_h2o(e),1.095115868750459
EX_h2s_m,h2s,1.0,EX_h2s_m,EX_h2s(e),1.0
EX_hdca_m,hdca,0.0792742,EX_hdca_m,EX_hdca(e),0.3712574054382505
EX_hxan_m,hxan,0.2,EX_hxan_m,EX_hxan(e),1.0
EX_ile_L_m,ile_L,0.03,EX_ile_L_m,EX_ile_L(e),1.4498555515138098
EX_k_m,k,0.2,EX_k_m,EX_k(e),1.3956905325371276
EX_leu_L_m,leu_L,0.03,EX_leu_L_m,EX_leu_L(e),1.3504132244842215
EX_lys_L_m,lys_L,0.03,EX_lys_L_m,EX_lys_L(e),1.391312195231384
EX_malt_m,malt,0.0148986,EX_malt_m,EX_malt(e),0.09548611111111105
EX_man_m,man,0.0297972,EX_man_m,EX_man(e),1.0
EX_met_L_m,met_L,0.036,EX_met_L_m,EX_met_L(e),1.1810826851591563
EX_metsox_S_L_m,metsox_S_L,1.0,EX_metsox_S_L_m,EX_metsox_S_L(e),1.0
EX_mg2_m,mg2,1.0,EX_mg2_m,EX_mg2(e),2.1442163386662934
EX_mn2_m,mn2,1.0,EX_mn2_m,EX_mn2(e),2.3343079922027257
EX_mnl_m,mnl,0.148986,EX_mnl_m,EX_mnl(e),15.814838709677433
EX_mqn7_m,mqn7,0.2,EX_mqn7_m,EX_mqn7(e),1.0
EX_na1_m,na1,0.2,EX_na1_m,EX_na1(e),0.8577273300542291
EX_nac_m,nac,0.2,EX_nac_m,EX_nac(e),1.555098520533404
EX_nmn_m,nmn,1.0,EX_nmn_m,EX_nmn(e),1.0
EX_o2_m,o2,0.001,EX_o2_m,EX_o2(e),1.0
EX_ocdca_m,ocdca,0.0338566,EX_ocdca_m,EX_ocdca(e),0.2628706967297806
EX_orn_m,orn,0.2,EX_orn_m,EX_orn(e),1.0
EX_pheme_m,pheme,0.2,EX_pheme_m,EX_pheme(e),1.0
EX_pi_m,pi,0.2,EX_pi_m,EX_pi(e),1.5700203594393147
EX_pnto_R_m,pnto_R,0.2,EX_pnto_R_m,EX_pnto_R(e),2.1451612903225823
EX_pro_L_m,pro_L,0.036,EX_pro_L_m,EX_pro_L(e),0.9459148000735991
EX_ptrc_m,ptrc,0.2,EX_ptrc_m,EX_ptrc(e),1.0
EX_pydx_m,pydx,0.2,EX_pydx_m,EX_pydx(e),1.5745341614906896
EX_ribflv_m,ribflv,0.2,EX_ribflv_m,EX_ribflv(e),1.8669064748201842
EX_ser_L_m,ser_L,0.2,EX_ser_L_m,EX_ser_L(e),1.3942221532070027
EX_so4_m,so4,0.2,EX_so4_m,EX_so4(e),1.0
EX_spmd_m,spmd,0.2,EX_spmd_m,EX_spmd(e),1.0
EX_sucr_m,sucr,0.0148986,EX_sucr_m,EX_sucr(e),0.6775171418260568
EX_tre_m,tre,0.0148986,EX_tre_m,EX_tre(e),1.0
EX_trp_L_m,trp_L,0.016364,EX_trp_L_m,EX_trp_L(e),1.3596553466421566
EX_ttdca_m,ttdca,0.0137352,EX_ttdca_m,EX_ttdca(e),0.02606657494959197
EX_ura_m,ura,0.2,EX_ura_m,EX_ura(e),1.0
EX_val_L_m,val_L,0.036,EX_val_L_m,EX_val_L(e),1.3491991053475818
EX_xan_m,xan,0.2,EX_xan_m,EX_xan(e),1.0
EX_zn2_m,zn2,1.0,EX_zn2_m,EX_zn2(e),1.6215805471124631
EX_cit_m,cit,0.2,EX_cit_m,EX_cit(e),1.0
EX_his_L_m,his_L,0.03,EX_his_L_m,EX_his_L(e),1.2278643320005462
EX_thymd_m,thymd,0.2,EX_thymd_m,EX_thymd(e),1.0
EX_26dap_M_m,26dap_M,1.0,EX_26dap_M_m,EX_26dap_M(e),1.0
EX_2dmmq8_m,2dmmq8,1.0,EX_2dmmq8_m,EX_2dmmq8(e),1.0
EX_2obut_m,2obut,0.2,EX_2obut_m,EX_2obut(e),1.0
EX_3mop_m,3mop,0.2,EX_3mop_m,EX_3mop(e),1.0
EX_ade_m,ade,0.2,EX_ade_m,EX_ade(e),1.0
EX_csn_m,csn,0.2,EX_csn_m,EX_csn(e),1.0
EX_cytd_m,cytd,0.2,EX_cytd_m,EX_cytd(e),1.0
EX_dad_2_m,dad_2,0.2,EX_dad_2_m,EX_dad_2(e),1.0
EX_dcyt_m,dcyt,0.2,EX_dcyt_m,EX_dcyt(e),1.0
EX_dgsn_m,dgsn,0.2,EX_dgsn_m,EX_dgsn(e),1.0
EX_glyc_m,glyc,0.359931,EX_glyc_m,EX_glyc(e),1.0
EX_gua_m,gua,0.2,EX_gua_m,EX_gua(e),1.0
EX_mqn8_m,mqn8,0.2,EX_mqn8_m,EX_mqn8(e),1.0
EX_phe_L_m,phe_L,0.2,EX_phe_L_m,EX_phe_L(e),1.4336448570819074
EX_pydam_m,pydam,0.2,EX_pydam_m,EX_pydam(e),1.5745341614906812
EX_pydxn_m,pydxn,0.2,EX_pydxn_m,EX_pydxn(e),1.5745341614906905
EX_q8_m,q8,1.0,EX_q8_m,EX_q8(e),1.0
EX_sheme_m,sheme,1.0,EX_sheme_m,EX_sheme(e),1.0
EX_thm_m,thm,0.2,EX_thm_m,EX_thm(e),1.337979094076655
EX_tyr_L_m,tyr_L,0.2,EX_tyr_L_m,EX_tyr_L(e),1.359274857761646
EX_uri_m,uri,0.2,EX_uri_m,EX_uri(e),1.0
EX_chol_m,chol,0.2,EX_chol_m,EX_chol(e),1.0
EX_drib_m,drib,0.0357566,EX_drib_m,EX_drib(e),1.0
EX_glyc3p_m,glyc3p,0.2,EX_glyc3p_m,EX_glyc3p(e),1.0
EX_inulin_m,inulin,0.0004701945,EX_inulin_m,EX_inulin(e),1.0
EX_rib_D_m,rib_D,0.0357566,EX_rib_D_m,EX_rib_D(e),1.0
EX_thr_L_m,thr_L,0.045,EX_thr_L_m,EX_thr_L(e),1.4782609400797322
EX_12dgr180_m,12dgr180,1.0,EX_12dgr180_m,EX_12dgr180(e),1.0
EX_amp_m,amp,0.2,EX_amp_m,EX_amp(e),1.0
EX_arab_L_m,arab_L,0.0357566,EX_arab_L_m,EX_arab_L(e),1.0
EX_indole_m,indole,1.0,EX_indole_m,EX_indole(e),1.0
EX_xyl_D_m,xyl_D,0.0357566,EX_xyl_D_m,EX_xyl_D(e),1.0
EX_4hbz_m,4hbz,0.2,EX_4hbz_m,EX_4hbz(e),1.0
EX_acnam_m,acnam,0.2,EX_acnam_m,EX_acnam(e),1.0
EX_gal_m,gal,0.0297972,EX_gal_m,EX_gal(e),33.70370370370377
EX_gthrd_m,gthrd,0.2,EX_gthrd_m,EX_gthrd(e),1.0
EX_ncam_m,ncam,0.2,EX_ncam_m,EX_ncam(e),1.4868476578984415
EX_ocdcea_m,ocdcea,0.136289,EX_ocdcea_m,EX_ocdcea(e),1.281710395535793
EX_ala_D_m,ala_D,0.2,EX_ala_D_m,EX_ala_D(e),1.0
EX_no2_m,no2,0.2,EX_no2_m,EX_no2(e),1.0
EX_adn_m,adn,0.2,EX_adn_m,EX_adn(e),1.0
EX_arab_D_m,arab_D,1.0,EX_arab_D_m,EX_arab_D(e),1.0
EX_cellb_m,cellb,0.074493,EX_cellb_m,EX_cellb(e),1.0
EX_lcts_m,lcts,0.0148986,EX_lcts_m,EX_lcts(e),6.4396698193351
EX_melib_m,melib,0.074493,EX_melib_m,EX_melib(e),1.0
EX_rmn_m,rmn,0.148986,EX_rmn_m,EX_rmn(e),1.0
EX_strch1_m,strch1,0.0514678,EX_strch1_m,EX_strch1(e),1.365558686250591
EX_chor_m,chor,1.0,EX_chor_m,EX_chor(e),1.0
EX_glcn_m,glcn,0.0297972,EX_glcn_m,EX_glcn(e),1.0
EX_oxa_m,oxa,0.0893914,EX_oxa_m,EX_oxa(e),1.0
EX_raffin_m,raffin,0.0047019445,EX_raffin_m,EX_raffin(e),1.0
EX_core2_m,core2,1.0,EX_core2_m,EX_core2(e),1.0
EX_core3_m,core3,1.0,EX_core3_m,EX_core3(e),1.0
EX_core4_m,core4,1.0,EX_core4_m,EX_core4(e),1.0
EX_core5_m,core5,1.0,EX_core5_m,EX_core5(e),1.0
EX_core6_m,core6,1.0,EX_core6_m,EX_core6(e),1.0
EX_core7_m,core7,1.0,EX_core7_m,EX_core7(e),1.0
EX_core8_m,core8,1.0,EX_core8_m,EX_core8(e),1.0
EX_fuc_L_m,fuc_L,0.0297972,EX_fuc_L_m,EX_fuc_L(e),1.0
EX_gncore1_m,gncore1,1.0,EX_gncore1_m,EX_gncore1(e),1.0
EX_gncore2_m,gncore2,1.0,EX_gncore2_m,EX_gncore2(e),1.0
EX_pullulan1200_m,pullulan1200,1.17549e-05,EX_pullulan1200_m,EX_pullulan1200(e),1.0
EX_succ_m,succ,0.0020024175,EX_succ_m,EX_succ(e),1.0
EX_gthox_m,gthox,0.2,EX_gthox_m,EX_gthox(e),1.0
EX_gchola_m,gchola,1.0,EX_gchola_m,EX_gchola(e),1.0
EX_gsn_m,gsn,0.2,EX_gsn_m,EX_gsn(e),1.0
EX_lanost_m,lanost,0.2,EX_lanost_m,EX_lanost(e),1.0
EX_tchola_m,tchola,1.0,EX_tchola_m,EX_tchola(e),1.0
EX_pime_m,pime,1.0,EX_pime_m,EX_pime(e),1.0
EX_kestopt_m,kestopt,0.0028211667,EX_kestopt_m,EX_kestopt(e),1.0
EX_mobd_m,mobd,1.0,EX_mobd_m,EX_mobd(e),1.0
EX_meoh_m,meoh,2.0,EX_meoh_m,EX_meoh(e),1.0
EX_pect_m,pect,6.677320000000001e-06,EX_pect_m,EX_pect(e),1.0
EX_xylan_m,xylan,3.20587e-05,EX_xylan_m,EX_xylan(e),1.0
EX_arabinogal_m,arabinogal,2.19148e-05,EX_arabinogal_m,EX_arabinogal(e),1.0
EX_homogal_m,homogal,0.0001282349,EX_homogal_m,EX_homogal(e),1.0
EX_rhamnogalurI_m,rhamnogalurI,1.44923e-05,EX_rhamnogalurI_m,EX_rhamnogalurI(e),1.0
EX_amylopect900_m,amylopect900,1.56731e-05,EX_amylopect900_m,EX_amylopect900(e),1.0
EX_amylose300_m,amylose300,4.70194e-05,EX_amylose300_m,EX_amylose300(e),1.0
EX_arabinan101_m,arabinan101,0.000166277,EX_arabinan101_m,EX_arabinan101(e),1.0
EX_arabinoxyl_m,arabinoxyl,0.0003066486,EX_arabinoxyl_m,EX_arabinoxyl(e),1.0
EX_bglc_m,bglc,1.41e-08,EX_bglc_m,EX_bglc(e),1.0
EX_dextran40_m,dextran40,0.0001763229,EX_dextran40_m,EX_dextran40(e),1.0
EX_galmannan_m,galmannan,1.41058e-05,EX_galmannan_m,EX_galmannan(e),1.0
EX_glcmannan_m,glcmannan,3.28807e-05,EX_glcmannan_m,EX_glcmannan(e),1.0
EX_levan1000_m,levan1000,1.41058e-05,EX_levan1000_m,EX_levan1000(e),1.0
EX_lichn_m,lichn,8.29755e-05,EX_lichn_m,EX_lichn(e),1.0
EX_lmn30_m,lmn30,0.0004701945,EX_lmn30_m,EX_lmn30(e),1.0
EX_xyluglc_m,xyluglc,1.31462e-05,EX_xyluglc_m,EX_xyluglc(e),1.0
EX_rhamnogalurII_m,rhamnogalurII,0.0002669874,EX_rhamnogalurII_m,EX_rhamnogalurII(e),1.0
EX_acmana_m,acmana,0.2,EX_acmana_m,EX_acmana(e),1.0
EX_glyleu_m,glyleu,0.000460574,EX_glyleu_m,EX_glyleu(e),1.0
EX_sbt_D_m,sbt_D,0.0028392865622065,EX_sbt_D_m,EX_sbt_D(e),199.4766666666666
EX_starch1200_m,starch1200,1.17549e-05,EX_starch1200_m,EX_starch1200(e),1.3655586862505906
EX_amet_m,amet,0.2,EX_amet_m,EX_amet(e),1.0
EX_cellul_m,cellul,2.82117e-05,EX_cellul_m,EX_cellul(e),4.5406387229310825
EX_sel_m,sel,1.0,EX_sel_m,EX_sel(e),1.0
EX_chsterol_m,chsterol,0.0009916,EX_chsterol_m,EX_chsterol(e),0.8546061331150417
EX_fald_m,fald,0.2,EX_fald_m,EX_fald(e),1.0
EX_glc_D_m,glc_D,0.0010309302,EX_glc_D_m,EX_glc_D(e),0.8866402462989664
